index	file	status	imports	regions	mapped_kib	messages	rss_before_kib	rss_after_kib	elapsed_ms
0	Mathlib/Algebra/Group/Basic.lean	ok	imports=8	regions=5303	mapped_kib=1104507	messages=0	rss_before_kib=1251680	rss_after_kib=2306256	elapsed_ms=624
1	Mathlib/Algebra/Order/Group/Basic.lean	ok	imports=5	regions=5710	mapped_kib=1204401	messages=0	rss_before_kib=2306336	rss_after_kib=3527024	elapsed_ms=806
2	Mathlib/CategoryTheory/Category/Basic.lean	ok	imports=8	regions=6619	mapped_kib=1438587	messages=0	rss_before_kib=3527088	rss_after_kib=5002912	elapsed_ms=820
3	Mathlib/CategoryTheory/Functor/Basic.lean	ok	imports=6	regions=6631	mapped_kib=1440734	messages=0	rss_before_kib=5002992	rss_after_kib=6495360	elapsed_ms=834
4	Mathlib/Data/List/Basic.lean	ok	imports=12	regions=6566	mapped_kib=1419111	messages=0	rss_before_kib=6495424	rss_after_kib=7953376	elapsed_ms=830
5	Mathlib/Data/Finset/Basic.lean	ok	imports=13	regions=6986	mapped_kib=1516889	messages=0	rss_before_kib=7953376	rss_after_kib=7589552	elapsed_ms=941
6	Mathlib/Data/Set/Basic.lean	ok	imports=5	regions=5449	mapped_kib=1145390	messages=0	rss_before_kib=7589552	rss_after_kib=6560864	elapsed_ms=771
7	Mathlib/Logic/Basic.lean	ok	imports=6	regions=4352	mapped_kib=884688	messages=0	rss_before_kib=6560928	rss_after_kib=5608640	elapsed_ms=614
8	Mathlib/Order/Basic.lean	ok	imports=13	regions=4771	mapped_kib=1015286	messages=0	rss_before_kib=5586016	rss_after_kib=5820944	elapsed_ms=653
9	Mathlib/Order/Lattice.lean	ok	imports=6	regions=5085	mapped_kib=1087762	messages=0	rss_before_kib=5820960	rss_after_kib=6153072	elapsed_ms=712
10	Mathlib/Topology/Basic.lean	ok	imports=6	regions=7210	mapped_kib=1562481	messages=0	rss_before_kib=6153072	rss_after_kib=6234192	elapsed_ms=1171
11	Mathlib/Topology/Maps/Basic.lean	ok	imports=4	regions=7309	mapped_kib=1582346	messages=0	rss_before_kib=6234256	rss_after_kib=6247744	elapsed_ms=1188
