path	raw_bytes	normalized_bytes	tokens	nodes	kinds	trivia_runs	tail_bytes	artifact_bytes	setup_ms	analyze_ms
Archive/Arithcc.lean	12316	12316	2182	3395	146	1665	0	132872	720.422	2045.849
Mathlib/Algebra/Algebra/Rat.lean	2591	2591	414	717	56	314	0	25166	698.752	1242.815
Mathlib/Algebra/Category/ModuleCat/Ext/DimensionShifting.lean	2447	2447	346	420	56	200	0	18331	3158.681	3298.271
Mathlib/Algebra/Divisibility/Hom.lean	1044	1044	154	194	35	112	0	8382	826.509	1067.412
Mathlib/Algebra/Group/Pointwise/Finset/Scalar.lean	14683	14683	2797	4354	116	2000	0	167363	739.999	2044.494
Mathlib/Algebra/Homology/DerivedCategory/Basic.lean	13389	13389	1554	2499	99	923	0	93808	935.901	2406.835
Mathlib/Algebra/Jordan/Basic.lean	10464	10464	2382	2917	84	1435	0	126861	1351.882	3456.985
Mathlib/Algebra/Module/Submodule/Union.lean	5788	5788	1200	1806	128	870	0	71864	1160.706	2937.109
Mathlib/Algebra/Order/Group/Int/Sum.lean	3325	3325	682	864	72	469	0	36521	821.295	1465.251
Mathlib/Algebra/Order/Sub/Unbundled/Basic.lean	11508	11508	2266	2963	74	1776	0	123652	827.701	1569.220
Mathlib/Algebra/Ring/IsFormallyReal.lean	5449	5449	915	1534	131	676	0	57567	825.975	3357.297
Mathlib/AlgebraicGeometry/IdealSheaf/Subscheme.lean	37905	37905	6061	9224	159	3695	0	368653	2265.864	8676.884
Mathlib/AlgebraicTopology/MooreComplex.lean	5980	5980	757	1132	94	524	0	44703	2324.232	1885.918
Mathlib/Analysis/Asymptotics/SuperpolynomialDecay.lean	15012	15012	2903	3862	124	2008	0	165463	1887.506	2777.617
Mathlib/Analysis/Calculus/FDeriv/RestrictScalars.lean	4739	4739	658	863	60	466	0	35741	1423.428	2586.523
Mathlib/Analysis/Convex/Cone/InnerDual.lean	6699	6699	922	1390	129	621	0	54950	1677.310	2851.391
Mathlib/Analysis/InnerProductSpace/l2Space.lean	26385	26385	3749	5353	179	2521	0	225570	1516.749	6151.963
Mathlib/Analysis/Normed/Module/Multilinear/Basic.lean	63690	63690	11211	14678	209	7480	0	660805	1057.420	15486.456
Mathlib/Analysis/SpecialFunctions/Gamma/Basic.lean	22951	22951	4473	6547	197	2907	0	270761	2634.782	4128.443
Mathlib/CategoryTheory/Action/Concrete.lean	8216	8216	1555	2278	124	1028	0	89459	933.892	2031.593
